time,h_GR,h_GAF
0.2147,2.04745e-24,1.02373e-24
0.2152,-2.25341e-24,-1.12671e-24
0.2157,-4.40394e-24,-2.20197e-24
0.2162,-3.73676e-24,-1.86838e-24
0.2167,-1.23044e-24,-6.15220e-25
0.2172,1.37523e-24,6.87614e-25
0.2177,2.67280e-24,1.33640e-24
0.2182,2.26196e-24,1.13098e-24
0.2187,7.39381e-25,3.69691e-25
0.2192,-8.39239e-25,-4.19620e-25
0.2197,-1.62214e-24,-8.11068e-25
0.2202,-1.36921e-24,-6.84603e-25
0.2207,-4.44261e-25,-2.22131e-25
0.2212,5.12122e-25,2.56061e-25
0.2217,9.84470e-25,4.92235e-25
0.2222,8.28796e-25,4.14398e-25
0.2227,2.66913e-25,1.33456e-25
0.2232,-3.12492e-25,-1.56246e-25
0.2237,-5.97466e-25,-2.98733e-25
0.2242,-5.01674e-25,-2.50837e-25
0.2247,-1.60347e-25,-8.01734e-26
0.2252,1.90669e-25,9.53346e-26
0.2257,3.62593e-25,1.81296e-25
0.2262,3.03661e-25,1.51831e-25
0.2267,9.63188e-26,4.81594e-26
0.2272,-1.16332e-25,-5.81662e-26
0.2277,-2.20049e-25,-1.10025e-25
0.2282,-1.83803e-25,-9.19014e-26
0.2287,-5.78523e-26,-2.89261e-26
0.2292,7.09739e-26,3.54870e-26
0.2297,1.33542e-25,6.67708e-26
0.2302,1.11253e-25,5.56263e-26
0.2307,3.47447e-26,1.73723e-26
0.2312,-4.32987e-26,-2.16494e-26
0.2317,-8.10416e-26,-4.05208e-26
0.2322,-6.73383e-26,-3.36691e-26
0.2327,-2.08647e-26,-1.04324e-26
0.2332,2.64137e-26,1.32069e-26
0.2337,4.91807e-26,2.45904e-26
0.2342,4.07576e-26,2.03788e-26
0.2347,1.25283e-26,6.26417e-27
0.2352,-1.61125e-26,-8.05626e-27
0.2357,-2.98454e-26,-1.49227e-26
0.2362,-2.46689e-26,1.65489e-21
0.2367,-7.52194e-27,5.04601e-22
0.2372,9.82825e-27,-6.59317e-22
0.2377,1.81115e-26,-1.21499e-21
0.2382,1.49309e-26,-1.00162e-21
0.2387,4.51566e-27,-3.02928e-22
0.2392,-5.99471e-27,4.02148e-22
0.2397,-1.09907e-26,7.37300e-22
0.2402,-9.03685e-27,6.06226e-22
0.2407,-2.71061e-27,-1.81838e-22
0.2412,3.65628e-27,-2.45277e-22
0.2417,6.66952e-27,-4.47417e-22
0.2422,5.46943e-27,-3.66910e-22
0.2427,1.62691e-27,-1.09139e-22
0.2432,-2.22993e-27,1.49592e-22
0.2437,-4.04723e-27,2.71503e-22
0.2442,-3.31026e-27,2.22065e-22
0.2447,-9.76369e-28,6.54985e-23
0.2452,1.35995e-27,-9.12306e-23
0.2457,2.45593e-27,-1.64753e-22
0.2462,2.00344e-27,-1.34398e-22
0.2467,5.85888e-28,-3.93036e-23
0.2472,-8.29344e-28,5.56355e-23
0.2477,-1.49029e-27,9.99741e-23
0.2482,-1.21251e-27,8.13396e-23
0.2487,-3.51532e-28,2.35821e-23
0.2492,5.05740e-28,-3.39269e-23
0.2497,9.04312e-28,6.06647e-23
0.2503,7.33817e-28,3.66909e-28
0.2508,2.10894e-28,1.05447e-28
0.2513,-3.08390e-28,-1.54195e-28
0.2518,-5.48735e-28,-2.74368e-28
0.2523,-4.44105e-28,-2.22052e-28
0.2528,-1.26506e-28,-6.32530e-29
0.2533,1.88042e-28,9.40208e-29
0.2538,3.32968e-28,1.66484e-28
0.2543,2.68768e-28,1.34384e-28
0.2548,7.58762e-29,3.79381e-29
0.2533,-1.14654e-28,-5.73269e-29
0.2538,-2.02040e-28,-1.01020e-28
0.2543,-1.62654e-28,-8.13269e-29
0.2548,-4.55035e-29,-2.27517e-29
0.2553,6.82812e-29,3.41406e-29
0.2558,1.19557e-28,5.97784e-29
0.2563,9.61651e-29,4.80825e-29
0.2568,2.67330e-29,1.33665e-29
0.2573,-4.08466e-29,-2.04233e-29
0.2578,-7.11738e-29,-3.55869e-29
0.2633,-6.04922e-29,-3.02461e-29
0.2638,-5.08077e-29,-2.54039e-29
0.2643,-1.40456e-29,-7.02281e-30
0.2648,2.19436e-29,1.09718e-29
0.2653,3.82979e-29,1.91490e-29
0.2658,3.21715e-29,1.60858e-29
0.2663,8.86269e-30,4.43135e-30
0.2668,-1.42040e-29,-7.10199e-30
0.2673,-2.46998e-29,-1.23499e-29
0.2678,-2.07134e-29,-1.03567e-29
0.2683,-5.69174e-30,-2.84587e-30
0.2688,9.26270e-30,4.63135e-30
0.2693,1.60562e-29,8.02810e-30
0.2698,1.34354e-29,6.71772e-30
0.2703,3.67534e-30,1.83767e-30
0.2708,-6.08792e-30,-3.04396e-30
0.2713,-1.04868e-29,-5.24338e-30
0.2718,-8.75948e-30,-4.37974e-30
0.2733,-2.38300e-30,-1.19150e-30
0.2738,4.02295e-30,2.01148e-30
0.2743,6.91136e-30,3.45568e-30
0.2748,5.75921e-30,2.87961e-30
0.2753,1.56225e-30,7.81124e-31
0.2758,-2.69213e-30,-1.34607e-30
0.2763,-4.61239e-30,-2.30619e-30
